*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108DDB88207D7D6F	barman_bottle	Bouteille de Barman	une	la	Bouteilles de Barman	des	les	
_719D75E0E9F8F0D4	big_barrel	Grand Tonneau	un	le	Grands Tonneaux	des	les	
_AAF8AD76E06BA817	big_living_sculpture	Grande Sculpture Vivante	une	la	Grandes Sculptures Vivantes	des	les	
_C53473989DD18D60	black_medicine	Médicament Noir	un	le	Médicaments Noirs	des	les	
_095D69BC15982000	blood_vial	Ampoule de Sang	une	l'	Ampoules de Sang	des	les	
_992FA17CC3622A69	blue_medicine	Médicament Bleu	un	le	Médicaments Bleus	des	les	
_387B063C978B2F9A	botanist_letter	Missive de Botaniste	une	la	Missives de Botaniste	des	les	
_94281F5594E74586	botanist_vial	Ampoule de Botaniste	une	l'	Ampoules de Botaniste	des	les	
_6E7AE080AAA7CCAD	bottle	Bouteille	une	la	Bouteilles	des	les	
_29FA4C81EB47209E	casket	Coffret	un	le	Coffrets	des	les	
_BB42F36FBADA4FB3	crystalized_spell	Sort Cristallisé	un	le	Sorts Cristallisés	des	les	
_5C103D85258D1E61	cure_expert_letter	Missive d'Expert en Guérison	une	la	Missives d'Expert en Guérison	des	les	
_265C8F99DC8713A2	fv_arrowhead	Pointe de Flèche Etrange	une	la	Pointes de Flèches Etranges	des	les	
_C4ED4DA60E405F1D	fv_seal1	Sceau de Mineur	un	le	Sceaux de Mineur	des	les	
_A7688EB001F4C3B6	fy_cheveux_long01	Cheveu Long de Fyros	un	le	Cheveux Longs de Fyros	des	les	
_C9AE97CCA6393608	fy_cheveux_medium01	Cheveu Mi-Long de Fyros	un	le	Cheveux Mi-Longs de Fyros	des	les	
_444DFF215179DB83	fy_cheveux_shave01	Cheveu Rasé de Fyros	un	le	Cheveux Rasés de Fyros	des	les	
_2B15C615EDDA8EDA	fy_cheveux_short01	Cheveu Court de Fyros	un	le	Cheveux Courts de Fyros	des	les	
_877F6110998470D1	fy_visage	Masque de Fyros	un	le	Masques de Fyros	des	les	
_B961ACE6A4CCEFFF	goo_swarmplants_fiber	Fibre de Shooki à Goo	une	la	Fibres de Shooki à Goo	des	les	
_35683D7993C78D1E	goo_swarmplants_fruit	Morceau de Fruit de Shooki à Goo	un	le	Morceaux de Fruit de Shooki à Goo	des	les	
_D983739BF7A2F020	goo_vampignon_fungus	Champignon de Vampignon à Goo	un	le	Champignons de Vampignon à Goo	des	les	
_7CA21DC266832C54	goo_varinx_blood	Sang de Varinx à Goo	du	le	Sang de Varinx à Goo	du	le	
_DDE22C9F40DC38D2	goo_yber_sticky_glands	Glande Puante/Yber à Goo	une	la	Glandes Puantes/Yber à Goo	des	les	
_DFBEF850F4144EB3	green_liquid_vial	Cristal brut du Nexus	un	le	Cristal brut du Nexus	des	les	
_C7E4ABA61E218D66	green_medicine	Médicament Vert	un	le	Médicaments Verts	des	les	
_C035657CDDA3C54C	guard_scroll	Rouleau de Garde	un	le	Rouleaux de Garde	des	les	
_FE92D2ABBEF726B8	heavy_armors_acreditation	Habilitation d'Armure Lourde	une	l'	Habilitations d'Armures Lourdes	des	les	
_7BFC81067891490A	heavy_conch	Conch Lourd	un	le	Conchs Lourds	des	les	
_8B31326A3B23E66B	heavy_package	Paquet Lourd	un	le	Paquets Lourds	des	les	
_E938348C4558587C	iccm1bm	Massue	une	la	Massues	des	les	
_E5F930951F9AC05E	iccm1bs	Bâton	un	le	Bâtons	des	les	
_9E18DC15602A786B	iccm1pd	Dague	une	la	Dagues	des	les	
_2768FC7B5E9AF45A	iccm1ps	Lance	une	la	Lances	des	les	
_EBB95CBE16B7C77A	iccm1sa	Hache	une	la	Haches	des	les	
_EBCA74981F9AFC68	iccm1ss	Epée	une	l'	Epées	des	les	
